ID,Name,Age,Nationality,Overall,Potential,Club,Value,Wage,Preferred Foot,International Reputation,Skill Moves,Position,Joined,Contract Valid Until,Height,Weight,Release Clause
1179,G. Buffon,40,Italy,88,88,Paris Saint-Germain,4000,77,Right,4,1,GK,2018,01/01/2019,6.333333333,203,7400
5479,Casillas,37,Spain,82,82,FC Porto,1500,10,Left,4,1,,2015,01/01/2019,6.083333333,185,3000
8205,Braga,35,Portugal,70,70,CD Aves,750,5,Right,1,3,LCM,2017,01/01/2019,5.916666667,165,1600
9014,A. Robben,34,Netherlands,84,84,FC Bayern München,15500,110,Left,4,4,RM,2009,01/01/2019,5.916666667,176,25600
19521,J. Ibehre,35,England,61,61,Cambridge United,120,2,Right,1,2,ST,2017,01/01/2019,6.333333333,203,210
20209,Ricardo Costa,37,Portugal,74,74,CD Tondela,750,4,Right,2,2,LCB,2017,01/01/2019,6,181,1600
20801,Cristiano Ronaldo,33,Portugal,94,94,Juventus,77000,405,Right,5,5,ST,2018,01/01/2022,6.166666667,183,127100
24630,Pepe Reina,35,Spain,83,83,Milan,6000,56,Right,3,1,GK,2018,,6.166666667,203,10200
27532,D. de Vries,37,Netherlands,66,66,Celtic,40,7,Right,1,1,GK,2016,01/01/2019,6.25,212,72
45083,S. von Bergen,35,Switzerland,73,73,BSC Young Boys,950,12,Right,2,2,LCB,2013,01/01/2022,6,174,1400
46175,M. Rosenberg,35,Sweden,73,73,Malmö FF,1800,6,Right,1,3,RS,2014,01/01/2020,6,179,2400
47201,S. Proto,35,Belgium,76,76,Lazio,1800,20,Right,2,1,GK,2018,01/01/2021,6,163,3100
48940,P. Čech,36,Czech Republic,82,82,Arsenal,3000,60,Left,4,1,,2015,01/01/2019,6.416666667,198,5700
52498,M. Lehmann,35,Germany,72,72,1. FC Köln,725,10,Right,2,2,CDM,2012,01/01/2019,5.833333333,165,1100
52679,J. Murphy,36,Republic of Ireland,62,62,Bury,40,1,Left,1,1,GK,2017,01/01/2019,6.166666667,194,70
53110,C. Gordon,35,Scotland,74,74,Celtic,1300,20,Left,2,1,GK,2014,01/01/2020,6.333333333,183,2400
53302,D. De Rossi,34,Italy,83,83,Roma,8000,80,Right,3,2,RDM,2002,,6,183,13600
53363,A. Collin,33,England,62,62,Carlisle United,150,2,Right,1,1,GK,2018,01/01/2019,6.25,172,263
53739,L. Grant,35,England,74,74,Manchester United,1300,39,Right,1,1,GK,2018,01/01/2020,6.333333333,183,2500
53748,K. Pilkington,44,England,48,48,Cambridge United,,1,Right,1,1,GK,2018,01/01/2023,6.166666667,190,4585.060806
54008,S. Bywater,37,England,63,63,Burton Albion,20,1,Right,1,1,GK,2016,01/01/2019,6.083333333,179,35
54037,T. Berni,35,Italy,64,64,Inter,110,5,Right,1,1,GK,2017,01/01/2019,6.083333333,176,187
101880,R. Green,38,England,72,72,Chelsea,210,28,Right,2,1,GK,2018,01/01/2019,6.166666667,203,389
102056,S. Padoin,34,Italy,71,71,Cagliari,675,18,Right,2,3,RB,2016,01/01/2019,5.833333333,161,1100
108080,S. Lichtsteiner,34,Switzerland,79,79,Arsenal,3600,94,Right,3,3,RB,2018,01/01/2019,6,168,6800
110638,Cifuentes,39,Spain,73,73,Cádiz CF,270,4,Right,1,1,GK,2015,01/01/2019,6.25,172,432
114356,M. Wölfli,35,Switzerland,68,68,BSC Young Boys,210,4,Right,1,1,GK,2000,01/01/2019,6.083333333,194,315
115533,D. Benaglio,34,Switzerland,77,77,AS Monaco,3600,44,Right,3,1,GK,2017,01/01/2020,6.333333333,196,6800
