ID,Name,Age,Nationality,Overall,Potential,Club,Value,Wage,Preferred Foot,International Reputation,Skill Moves,Position,Joined,Contract Valid Until,Height,Weight,Release Clause
1179,G. Buffon,40,Italy,88,88,Paris Saint-Germain,4000.0,77,Right,4.0,1.0,GK,2018,01/01/2019,6.333333333,203.0,7400.0
5479,Casillas,37,Spain,82,82,FC Porto,1500.0,10,Left,4.0,1.0,,2015,01/01/2019,6.083333333,185.0,3000.0
8205,Braga,35,Portugal,70,70,CD Aves,750.0,5,Right,1.0,3.0,LCM,2017,01/01/2019,5.916666667,165.0,1600.0
9014,A. Robben,34,Netherlands,84,84,FC Bayern München,15500.0,110,Left,4.0,4.0,RM,2009,01/01/2019,5.916666667,176.0,25600.0
19521,J. Ibehre,35,England,61,61,Cambridge United,120.0,2,Right,1.0,2.0,ST,2017,01/01/2019,6.333333333,203.0,210.0
20209,Ricardo Costa,37,Portugal,74,74,CD Tondela,750.0,4,Right,2.0,2.0,LCB,2017,01/01/2019,6.0,181.0,1600.0
20801,Cristiano Ronaldo,33,Portugal,94,94,Juventus,77000.0,405,Right,5.0,5.0,ST,2018,01/01/2022,6.166666667,183.0,127100.0
24630,Pepe Reina,35,Spain,83,83,Milan,6000.0,56,Right,3.0,1.0,GK,2018,,6.166666667,203.0,10200.0
27532,D. de Vries,37,Netherlands,66,66,Celtic,40.0,7,Right,1.0,1.0,GK,2016,01/01/2019,6.25,212.0,72.0
45083,S. von Bergen,35,Switzerland,73,73,BSC Young Boys,950.0,12,Right,2.0,2.0,LCB,2013,01/01/2022,6.0,174.0,1400.0
46175,M. Rosenberg,35,Sweden,73,73,Malmö FF,1800.0,6,Right,1.0,3.0,RS,2014,01/01/2020,6.0,179.0,2400.0
47201,S. Proto,35,Belgium,76,76,Lazio,1800.0,20,Right,2.0,1.0,GK,2018,01/01/2021,6.0,163.0,3100.0
48940,P. Čech,36,Czech Republic,82,82,Arsenal,3000.0,60,Left,4.0,1.0,,2015,01/01/2019,6.416666667,198.0,5700.0
52498,M. Lehmann,35,Germany,72,72,1. FC Köln,725.0,10,Right,2.0,2.0,CDM,2012,01/01/2019,5.833333333,165.0,1100.0
52679,J. Murphy,36,Republic of Ireland,62,62,Bury,40.0,1,Left,1.0,1.0,GK,2017,01/01/2019,6.166666667,194.0,70.0
53110,C. Gordon,35,Scotland,74,74,Celtic,1300.0,20,Left,2.0,1.0,GK,2014,01/01/2020,6.333333333,183.0,2400.0
53302,D. De Rossi,34,Italy,83,83,Roma,8000.0,80,Right,3.0,2.0,RDM,2002,,6.0,183.0,13600.0
53363,A. Collin,33,England,62,62,Carlisle United,150.0,2,Right,1.0,1.0,GK,2018,01/01/2019,6.25,172.0,263.0
53739,L. Grant,35,England,74,74,Manchester United,1300.0,39,Right,1.0,1.0,GK,2018,01/01/2020,6.333333333,183.0,2500.0
53748,K. Pilkington,44,England,48,48,Cambridge United,,1,Right,1.0,1.0,GK,2018,01/01/2023,6.166666667,190.0,4585.060806
54008,S. Bywater,37,England,63,63,Burton Albion,20.0,1,Right,1.0,1.0,GK,2016,01/01/2019,6.083333333,179.0,35.0
54037,T. Berni,35,Italy,64,64,Inter,110.0,5,Right,1.0,1.0,GK,2017,01/01/2019,6.083333333,176.0,187.0
101880,R. Green,38,England,72,72,Chelsea,210.0,28,Right,2.0,1.0,GK,2018,01/01/2019,6.166666667,203.0,389.0
102056,S. Padoin,34,Italy,71,71,Cagliari,675.0,18,Right,2.0,3.0,RB,2016,01/01/2019,5.833333333,161.0,1100.0
108080,S. Lichtsteiner,34,Switzerland,79,79,Arsenal,3600.0,94,Right,3.0,3.0,RB,2018,01/01/2019,6.0,168.0,6800.0
110638,Cifuentes,39,Spain,73,73,Cádiz CF,270.0,4,Right,1.0,1.0,GK,2015,01/01/2019,6.25,172.0,432.0
114356,M. Wölfli,35,Switzerland,68,68,BSC Young Boys,210.0,4,Right,1.0,1.0,GK,2000,01/01/2019,6.083333333,194.0,315.0
115533,D. Benaglio,34,Switzerland,77,77,AS Monaco,3600.0,44,Right,3.0,1.0,GK,2017,01/01/2020,6.333333333,196.0,6800.0
121933,R. Adler,33,Germany,79,79,1. FSV Mainz 05,6500.0,25,Right,2.0,1.0,GK,2017,01/01/2019,6.25,187.0,11700.0
134820,S. Brown,33,Scotland,77,77,Celtic,3600.0,47,Right,2.0,3.0,CDM,2007,01/01/2019,5.75,176.0,6500.0
135043,A. Lindegaard,34,Denmark,68,68,Burnley,375.0,14,Right,2.0,1.0,GK,2017,01/01/2019,6.333333333,187.0,713.0
135507,Fernandinho,33,Brazil,86,86,Manchester City,18000.0,185,Right,3.0,3.0,CDM,2013,01/01/2020,5.833333333,148.0,33300.0
135576,Diego Barcelos,33,Brazil,69,69,CD Nacional,650.0,6,Right,1.0,4.0,CAM,2017,01/01/2020,5.583333333,154.0,1400.0
135587,N. Mäenpää,33,Finland,69,69,Bristol City,525.0,14,Right,1.0,1.0,GK,2018,01/01/2019,6.25,190.0,998.0
135647,P. Calandria,36,Argentina,69,69,CD O'Higgins,375.0,3,Right,1.0,2.0,ST,2012,01/01/2018,6.0,176.0,506.0
137186,A. Barzagli,37,Italy,84,84,Juventus,4200.0,95,Right,3.0,2.0,CB,2011,01/01/2019,6.166666667,192.0,6900.0
137242,L. Jiménez,34,Chile,72,72,CD Palestino,1600.0,4,Right,2.0,3.0,RW,2018,01/01/2019,6.0,165.0,2100.0
137410,D. Gastaldello,35,Italy,71,71,Brescia,550.0,2,Right,2.0,2.0,LCB,2017,01/01/2019,6.083333333,170.0,853.0
137708,F. Dick,33,Germany,66,66,1. FC Kaiserslautern,250.0,2,Right,1.0,2.0,RB,2018,01/01/2019,6.0,185.0,363.0
138336,B. Holman,34,Australia,69,69,Brisbane Roar,525.0,4,Right,2.0,3.0,CAM,2016,01/01/2019,5.833333333,165.0,656.0
138412,J. Milner,32,England,81,81,Liverpool,13500.0,120,Right,2.0,3.0,CM,2015,01/01/2020,5.75,154.0,25700.0
138956,G. Chiellini,33,Italy,89,89,Juventus,27000.0,215,Left,4.0,2.0,LCB,2005,01/01/2020,6.166666667,187.0,44600.0
138981,Tiago Gomes,31,Portugal,67,67,CD Feirense,500.0,4,Left,1.0,3.0,LB,2017,01/01/2019,5.833333333,159.0,1100.0
139062,W. Caballero,36,Argentina,76,76,Chelsea,1000.0,39,Right,2.0,1.0,GK,2017,01/01/2019,6.083333333,179.0,1900.0
139533,A. Hutton,33,Scotland,70,70,Aston Villa,675.0,10,Right,2.0,3.0,RB,2011,01/01/2019,6.083333333,161.0,1300.0
139720,V. Kompany,32,Belgium,85,85,Manchester City,22000.0,170,Right,4.0,2.0,CB,2008,01/01/2019,6.25,187.0,40700.0
139997,D. Srna,36,Croatia,80,80,Cagliari,1700.0,27,Right,3.0,3.0,RB,2018,01/01/2019,5.833333333,172.0,2900.0
140082,Rafael,36,Brazil,75,75,Cagliari,900.0,14,Right,2.0,1.0,GK,2016,01/01/2019,6.166666667,176.0,1500.0
140222,P. Da Silva,38,Paraguay,72,72,,,0,Right,2.0,2.0,RCB,2016,,5.916666667,168.0,4585.060806
140293,A. Mirante,34,Italy,80,80,Roma,6000.0,51,Right,2.0,1.0,GK,2018,01/01/2021,6.333333333,174.0,10200.0
140420,B. Murphy,35,Republic of Ireland,64,64,Cardiff City,110.0,5,Right,1.0,1.0,GK,2016,01/01/2019,6.0,183.0,220.0
140423,J. Buxton,33,England,68,68,Burton Albion,375.0,5,Right,1.0,2.0,CB,2017,01/01/2019,5.916666667,183.0,656.0
140424,C. Beardsley,34,England,60,60,Burton Albion,110.0,2,Right,1.0,2.0,ST,2018,01/01/2019,6.0,179.0,193.0
140620,R. Klavan,32,Estonia,77,77,Cagliari,5000.0,30,Left,2.0,2.0,CB,2018,01/01/2020,6.166666667,187.0,8500.0
142454,Verza,31,Spain,71,71,CF Rayo Majadahonda,1600.0,5,Right,1.0,2.0,RCM,2018,01/01/2019,5.916666667,172.0,2500.0
142499,Aitor Sanz,33,Spain,73,73,CD Tenerife,1600.0,8,Right,1.0,3.0,CDM,2013,01/01/2019,5.916666667,157.0,2600.0
142998,C. Muñoz,41,Argentina,68,68,CD Universidad de Concepción,60.0,1,Right,1.0,1.0,GK,2013,01/01/2018,5.833333333,161.0,84.0
143076,A. Gómez,30,Argentina,84,84,Atalanta,30000.0,53,Right,3.0,4.0,LS,2014,01/01/2022,5.416666667,150.0,51000.0
144429,O. Wendt,32,Sweden,76,76,Borussia Mönchengladbach,4300.0,24,Left,2.0,3.0,LB,2011,01/01/2019,5.916666667,181.0,7200.0
144622,Raffael,33,Brazil,81,81,Borussia Mönchengladbach,11000.0,41,Right,2.0,4.0,CF,2013,01/01/2019,5.75,152.0,18700.0
145047,Bruno Saltor,37,Spain,74,74,Brighton & Hove Albion,650.0,25,Right,1.0,3.0,RB,2012,01/01/2019,5.916666667,168.0,1200.0
145996,Seoane,35,Spain,74,74,CD Lugo,1300.0,6,Right,1.0,2.0,RDM,2012,01/01/2021,5.833333333,165.0,2100.0
146453,Raúl Cámara,34,Spain,68,68,CD Tenerife,250.0,4,Right,1.0,3.0,RB,2013,01/01/2019,5.583333333,141.0,400.0
146462,Jorge García,34,Spain,68,68,CF Rayo Majadahonda,270.0,3,Left,1.0,2.0,CB,2017,01/01/2019,6.0,174.0,419.0
146521,Ripa,32,Spain,69,69,CD Numancia,575.0,5,Left,1.0,2.0,LB,2011,01/01/2019,5.833333333,161.0,920.0
146530,Dani Alves,35,Brazil,82,82,Paris Saint-Germain,4800.0,62,Right,4.0,4.0,RB,2017,01/01/2019,5.666666667,150.0,8900.0
146536,Jesús Navas,32,Spain,80,80,Sevilla FC,11500.0,22,Right,2.0,3.0,RM,2017,01/01/2021,5.583333333,132.0,24200.0
146947,Vesga,25,Spain,72,77,CD Leganés,3500.0,14,Left,1.0,3.0,CDM,2016,30/06/2019,6.25,185.0,4585.060806
146952,Iván Cuéllar,34,Spain,76,76,CD Leganés,3100.0,21,Left,1.0,1.0,GK,2017,01/01/2019,6.166666667,168.0,6500.0
146974,Miguel Flaño,33,Spain,67,67,CA Osasuna,300.0,4,Right,1.0,2.0,CB,2004,01/01/2019,5.833333333,154.0,480.0
146996,Rubén,34,Spain,68,68,CA Osasuna,375.0,3,Right,1.0,1.0,GK,2018,01/01/2019,6.166666667,179.0,600.0
147782,I. Denisov,34,Russia,80,80,Lokomotiv Moscow,4500.0,1,Right,2.0,3.0,RDM,2013,01/01/2019,5.75,154.0,9400.0
147899,C. Moţi,33,Romania,69,69,,,0,Right,1.0,2.0,LCB,2016,,6.0,172.0,4585.060806
150106,A. Papadopoulos,33,Greece,68,68,Brisbane Roar,375.0,3,Right,2.0,2.0,LCB,2017,01/01/2019,6.083333333,174.0,469.0
150724,J. Hart,31,England,79,79,Burnley,7500.0,45,Right,3.0,1.0,GK,2018,01/01/2020,6.416666667,201.0,14300.0
150995,B. Rotenberg,32,Finland,63,63,Lokomotiv Moscow,200.0,1,Right,1.0,2.0,RB,2016,01/01/2019,6.166666667,185.0,420.0
152211,R. Özcan,34,Austria,75,75,Bayer 04 Leverkusen,2700.0,36,Left,1.0,1.0,GK,2016,01/01/2019,6.0,172.0,4600.0
152729,Piqué,31,Spain,87,87,FC Barcelona,34000.0,240,Right,4.0,2.0,RCB,2008,01/01/2022,6.333333333,187.0,69700.0
152747,A. Lennon,31,England,76,76,Burnley,7000.0,48,Right,2.0,3.0,RM,2018,01/01/2020,5.416666667,139.0,13300.0
152908,A. Young,32,England,79,79,Manchester United,7000.0,110,Right,2.0,4.0,LB,2011,01/01/2019,5.75,143.0,13000.0
153079,S. Agüero,30,Argentina,89,89,Manchester City,64500.0,300,Right,4.0,4.0,ST,2011,01/01/2021,5.666666667,154.0,119300.0
153160,R. Raldes,37,Bolivia,70,70,,,0,Right,1.0,2.0,LB,2016,,5.916666667,172.0,4585.060806
155862,Sergio Ramos,32,Spain,91,91,Real Madrid,51000.0,380,Right,4.0,3.0,RCB,2005,01/01/2020,6.0,181.0,104600.0
155979,R. McCormack,31,Scotland,72,72,Central Coast Mariners,2800.0,16,Right,1.0,3.0,LS,2016,31/05/2019,5.75,163.0,4585.060806
156092,J. Villar,41,Paraguay,77,77,,,0,Right,2.0,1.0,GK,2016,,5.916666667,187.0,4585.060806
156432,G. Hoarau,34,Unknown,77,77,BSC Young Boys,4700.0,26,Right,2.0,3.0,LS,2014,01/01/2020,6.333333333,187.0,7000.0
156481,T. Moniwa,36,Japan,60,60,Cerezo Osaka,30.0,1,Right,1.0,2.0,CB,2015,01/01/2022,5.916666667,181.0,38.0
156519,H. Herrera,28,Mexico,81,81,FC Porto,17500.0,20,Right,3.0,3.0,CM,2013,01/01/2019,6.0,159.0,35000.0
156616,F. Ribéry,35,France,83,83,FC Bayern München,11500.0,72,Right,4.0,5.0,LM,2007,,5.583333333,159.0,19000.0
156713,A. Granqvist,33,Sweden,80,80,,,0,Right,2.0,2.0,LCB,2016,,6.333333333,185.0,4585.060806
156894,D. Pratley,33,England,66,66,Charlton Athletic,375.0,4,Right,1.0,3.0,RCM,2018,01/01/2020,6.083333333,152.0,656.0
157304,T. Vermaelen,32,Belgium,77,77,FC Barcelona,5000.0,110,Left,3.0,2.0,CB,2014,01/01/2019,6.0,176.0,10300.0
157960,Manuel Fernandes,32,Portugal,81,81,Lokomotiv Moscow,14000.0,1,Right,2.0,4.0,LM,2014,01/01/2019,5.75,165.0,29400.0
157978,K. Cissé,34,Mali,65,65,Central Coast Mariners,160.0,1,Right,1.0,2.0,RCB,2018,01/01/2019,6.166666667,187.0,200.0
158023,L. Messi,31,Argentina,94,94,FC Barcelona,110500.0,565,Left,5.0,4.0,RF,2004,01/01/2021,5.583333333,159.0,226500.0
158133,J. Farfán,33,Peru,79,79,Lokomotiv Moscow,7500.0,1,Right,2.0,4.0,CAM,2017,01/01/2020,5.833333333,185.0,15800.0
158172,M. Parensen,32,Germany,67,67,1. FC Union Berlin,425.0,9,Left,1.0,3.0,LB,2009,01/01/2019,5.916666667,174.0,680.0
158394,K. Reichel,31,Germany,73,73,1. FC Union Berlin,2600.0,23,Left,1.0,3.0,LB,2018,01/01/2020,6.083333333,183.0,4200.0
158657,T. Kessler,32,Germany,71,71,1. FC Köln,1400.0,10,Right,1.0,1.0,GK,2007,01/01/2019,6.5,203.0,2000.0
158685,Defendi,32,Brazil,71,71,CD Aves,1400.0,8,Left,1.0,2.0,CB,2017,01/01/2019,6.25,183.0,2900.0
158867,A. Gerrard,32,Republic of Ireland,65,65,Carlisle United,300.0,3,Right,1.0,2.0,LCB,2018,01/01/2019,6.166666667,183.0,525.0
158963,L. Biglia,32,Argentina,82,82,Milan,12500.0,98,Right,3.0,3.0,,2017,01/01/2020,5.833333333,139.0,21300.0
160770,O. Skúlason,35,Iceland,71,71,,,0,Right,2.0,2.0,CDM,2016,,6.0,179.0,4585.060806
161805,V. Behrami,33,Switzerland,76,76,Udinese,3100.0,24,Right,2.0,3.0,CM,2017,01/01/2019,6.083333333,172.0,5600.0
161956,Borja Valero,33,Spain,81,81,Inter,11000.0,74,Right,3.0,4.0,CAM,2017,01/01/2020,5.75,161.0,18700.0
162054,M. Bunn,33,England,69,69,Aston Villa,525.0,7,Right,1.0,1.0,GK,2015,01/01/2019,6.0,170.0,998.0
162280,A. Mierzejewski,31,Poland,75,75,Changchun Yatai FC,6000.0,12,Left,2.0,4.0,RM,2018,01/01/2019,5.75,161.0,12900.0
162297,D. Padelli,32,Italy,74,74,Inter,3200.0,34,Left,2.0,1.0,GK,2017,01/01/2019,6.25,181.0,5500.0
162835,S. Handanovič,33,Slovenia,88,88,Inter,30000.0,110,Right,3.0,1.0,GK,2012,01/01/2021,6.333333333,203.0,51000.0
162895,Cesc Fàbregas,31,Spain,83,83,Chelsea,22000.0,140,Right,4.0,3.0,CM,2014,,5.833333333,170.0,40700.0
163261,P. Bardsley,33,Scotland,72,72,Burnley,1200.0,32,Right,1.0,3.0,RB,2017,01/01/2019,5.916666667,174.0,2300.0
163264,T. Heaton,32,England,79,79,Burnley,7000.0,45,Right,2.0,1.0,GK,2013,01/01/2020,6.166666667,203.0,13300.0
163303,G. Whelan,34,Republic of Ireland,70,70,Aston Villa,550.0,10,Right,2.0,2.0,CDM,2017,01/01/2019,5.916666667,176.0,1000.0
163407,A. Raggi,34,Italy,75,75,AS Monaco,2000.0,48,Right,2.0,2.0,CB,2012,01/01/2019,6.166666667,181.0,3800.0
163581,T. Craig,33,England,65,65,Bristol Rovers,220.0,3,Left,1.0,2.0,LCB,2018,01/01/2019,6.083333333,174.0,385.0
163616,J. Young,32,England,67,67,Brisbane Roar,450.0,2,Left,1.0,1.0,GK,2014,01/01/2020,5.916666667,183.0,563.0
163619,J. Hayes,30,Republic of Ireland,71,71,Celtic,2200.0,31,Left,1.0,3.0,LM,2017,01/01/2020,5.666666667,161.0,4000.0
163670,B. Safari,33,Sweden,70,70,Malmö FF,675.0,4,Left,2.0,3.0,LCB,2016,01/01/2020,5.916666667,163.0,878.0
163711,L. Diarra,33,France,80,80,Paris Saint-Germain,6000.0,75,Right,3.0,3.0,CDM,2018,01/01/2019,5.75,163.0,11100.0
163856,C. Dagnall,32,England,64,64,Bury,350.0,4,Right,1.0,2.0,ST,2018,01/01/2019,5.666666667,165.0,613.0
163998,T. Tzimopoulos,32,New Zealand,68,68,,,0,Right,1.0,2.0,CB,2016,,6.166666667,181.0,4585.060806
164240,Thiago Silva,33,Brazil,88,88,Paris Saint-Germain,24000.0,165,Right,4.0,2.0,RCB,2012,01/01/2020,6.0,181.0,44400.0
164467,J. Ward,32,Northern Ireland,67,67,Charlton Athletic,600.0,17,Right,1.0,3.0,ST,2016,01/01/2019,5.416666667,130.0,4585.060806
164468,G. Cahill,32,England,80,80,Chelsea,8500.0,99,Right,3.0,2.0,CB,2012,01/01/2019,6.333333333,194.0,15700.0
164470,Pita,33,Spain,70,70,CD Lugo,725.0,5,Right,1.0,2.0,CDM,2010,01/01/2021,6.166666667,179.0,1200.0
164471,Xisco,32,Spain,71,71,CA Osasuna,1900.0,8,Right,1.0,3.0,ST,2017,01/01/2019,6.166666667,168.0,3000.0
164484,J. Dahlin,31,Sweden,71,71,Malmö FF,1400.0,4,Right,1.0,1.0,GK,2017,01/01/2020,6.25,198.0,1900.0
164626,T. Kristensen,35,Denmark,70,70,Brisbane Roar,425.0,3,Right,1.0,3.0,RDM,2016,01/01/2019,6.166666667,174.0,531.0
164645,S. Dawson,32,Republic of Ireland,62,62,Bury,230.0,3,Right,1.0,2.0,CM,2017,01/01/2020,6.0,157.0,403.0
164857,Edinho,35,Portugal,73,73,CD Feirense,1800.0,9,Right,1.0,3.0,ST,2018,01/01/2019,6.0,163.0,3900.0
165109,S. Radu,31,Romania,80,80,Lazio,10000.0,51,Left,2.0,3.0,LCB,2008,01/01/2020,6.0,174.0,17000.0
165153,K. Benzema,30,France,85,85,Real Madrid,37000.0,240,Right,4.0,4.0,ST,2009,01/01/2021,6.083333333,179.0,75900.0
165229,L. Koscielny,32,France,82,82,Arsenal,12500.0,115,Right,3.0,2.0,,2010,01/01/2020,6.083333333,165.0,23800.0
165321,S. Ward,32,Republic of Ireland,75,75,Burnley,3700.0,42,Left,2.0,3.0,LB,2014,01/01/2019,6.083333333,176.0,7000.0
165429,C. Keşerü,31,Romania,73,73,,,0,Left,2.0,2.0,CAM,2016,,5.833333333,157.0,4585.060806
165509,B. Clarke,30,Republic of Ireland,66,66,Charlton Athletic,625.0,4,Left,1.0,3.0,ST,2017,01/01/2019,5.583333333,141.0,1100.0
165738,J. Kennedy,31,England,63,63,Carlisle United,325.0,3,Right,1.0,2.0,CM,2015,01/01/2019,6.083333333,165.0,569.0
165894,Yang Dong Hyen,32,Korea Republic,65,65,Cerezo Osaka,425.0,3,Right,1.0,3.0,ST,2018,01/01/2023,6.083333333,176.0,531.0
166841,N. Adams,31,Wales,65,65,Bury,475.0,4,Right,1.0,3.0,RWB,2018,01/01/2019,5.75,154.0,831.0
166848,N. Danns,35,Guyana,63,63,Bury,150.0,2,Right,1.0,2.0,CM,2016,01/01/2019,5.75,172.0,263.0
166851,K. Árnason,35,Iceland,70,70,,,0,Right,1.0,2.0,RCB,2016,,6.25,181.0,4585.060806
